# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_3_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2252998156
# output
#   file = stan/ukeu_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,grand_mu,grand_sigma,kappa_pollster.1,kappa_pollster.2,kappa_pollster.3,kappa_pollster.4,kappa_pollster.5,kappa_pollster.6,kappa_pollster.7,kappa_pollster.8,kappa_pollster.9,kappa_pollster.10,kappa_pollster.11,kappa_pollster.12,kappa_pollster.13,kappa_pollster.14,kappa_pollster.15,kappa_teleph
# Adaptation terminated
# Step size = 0.0395551
# Diagonal elements of inverse mass matrix:
# 0.156827, 4.09737e-05, 0.170366, 0.163559, 0.157127, 0.161299, 0.202636, 0.16611, 0.156285, 0.208777, 0.185146, 0.167696, 0.169172, 0.159134, 0.168103, 0.160686, 0.167572, 0.00661041
-182396,0.930558,0.0395551,8,223,0,-0.377604,5.55585,-0.290459,0.434605,0.348826,0.360304,0.645835,0.90888,0.386309,0.251585,0.116873,0.510234,0.650625,0.465752,0.800615,0.6106,0.638427,0.307565
-182398,0.985179,0.0395551,8,159,0,-1.03814,5.51292,0.5311,1.02794,1.02398,0.949747,1.54876,1.23367,1.09304,0.782133,0.926024,1.13172,1.56786,1.07402,1.4893,1.16645,1.26029,0.276142
-182400,0.927236,0.0395551,7,111,0,-0.957715,5.48464,0.431564,0.855197,0.890368,0.800441,0.756035,1.19968,0.896147,0.719603,0.772881,0.911436,1.11037,0.997704,1.0787,1.20379,1.02284,0.464528
-182398,0.9647,0.0395551,9,319,0,0.922712,5.53019,-1.35099,-0.937562,-0.960073,-1.07565,-1.05382,-0.621776,-0.959547,-1.41497,-1.30445,-1.01552,-0.616484,-0.929572,-0.582089,-0.964418,-0.934701,0.400388
-182400,0.841822,0.0395551,8,159,0,0.0457034,5.48982,-0.825579,-0.279992,-0.0603278,-0.0734935,0.62933,0.365158,-0.0574408,-0.151943,-0.310416,0.108578,0.443467,0.0410025,0.453806,0.109574,0.202699,0.287107
-182396,0.999732,0.0395551,6,63,0,0.0280057,5.50612,-0.801246,-0.120418,-0.11042,-0.202473,0.45516,0.33883,-0.0269886,-0.172275,-0.445083,0.0504076,0.510114,-0.0559363,0.298247,0.0388389,0.0566915,0.282723
-182393,0.925627,0.0395551,6,63,0,0.00923263,5.51525,-0.595981,-0.0577495,-0.102086,-0.140004,0.536598,0.137153,-0.0164545,-0.0971402,-0.148581,0.0230041,0.273514,0.0121583,0.341004,0.126166,0.155554,0.305833
-182393,0.847294,0.0395551,8,223,0,-0.369362,5.55104,-0.111936,0.306536,0.326083,0.288507,0.944063,0.719728,0.368171,0.329283,0.0313499,0.389222,0.66952,0.349481,0.690965,0.484536,0.594354,0.336987
-182398,0.912937,0.0395551,6,63,0,-0.547726,5.53228,-0.168125,0.427682,0.492213,0.478808,0.470652,0.629129,0.545854,-0.224314,0.529477,0.439731,0.814577,0.581257,0.818773,0.680196,0.561008,0.384141
-182396,0.976309,0.0395551,5,31,0,-0.599141,5.51636,-0.0536295,0.638612,0.540916,0.439261,0.716136,0.897532,0.587675,0.0255822,0.479861,0.672271,0.699821,0.594163,0.815231,0.759041,0.735649,0.448105
