# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2174266419
# output
#   file = stan/ukeu_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3
# Adaptation terminated
# Step size = 0.209009
# Diagonal elements of inverse mass matrix:
# 0.00819347, 0.00832727, 0.00910791
351.644,0.995022,0.209009,3,7,0,23.6552,22.0496,7.08146
351.567,0.993738,0.209009,5,23,0,26.1829,24.4237,7.56456
351.73,1,0.209009,2,3,0,25.7752,24.8211,7.50358
351.041,0.756888,0.209009,2,3,0,25.9196,24.218,7.91497
351.271,0.912068,0.209009,5,19,0,23.1942,21.7041,6.60672
351.312,1,0.209009,2,3,0,23.032,22.2698,6.63597
349.715,0.822765,0.209009,2,3,0,22.9004,21.5134,6.28265
350.245,1,0.209009,3,7,0,22.4793,21.2187,6.26352
351.283,1,0.209009,3,7,0,21.8333,21.0192,6.71933
349.25,0.917824,0.209009,5,19,0,29.7218,27.4207,8.5032
351.858,0.954433,0.209009,5,23,0,24.4397,23.6726,7.168
351.099,0.851533,0.209009,2,3,0,25.0127,24.5665,7.29195
351.361,1,0.209009,5,19,0,22.7194,22.0923,6.63086
351.612,0.916239,0.209009,5,19,0,25.1205,23.5059,7.58813
351.79,0.933524,0.209009,2,3,0,24.6574,23.8391,7.54424
351.795,0.998577,0.209009,4,15,0,26.2881,24.8612,7.65258
351.795,0.718935,0.209009,2,3,0,26.2881,24.8612,7.65258
351.712,0.951757,0.209009,2,3,0,26.0472,25.0868,7.61359
351.907,0.975597,0.209009,2,3,0,26.0696,24.706,7.73585
351.301,0.876551,0.209009,4,11,0,27.1434,26.1495,8.12923
351.346,0.874018,0.209009,5,23,0,23.6308,22.732,7.3751
351.913,0.997534,0.209009,5,19,0,25.1178,23.7195,7.25525
352.03,0.95711,0.209009,2,3,0,24.3069,23.3862,7.36152
351.9,0.95652,0.209009,2,3,0,24.1093,22.7504,7.29207
351.476,0.982494,0.209009,4,15,0,23.3016,22.4908,7.23961
351.807,0.984528,0.209009,3,7,0,24.2473,22.8656,6.97084
351.64,0.958867,0.209009,1,1,0,24.3629,22.7859,6.97578
351.518,0.991401,0.209009,3,7,0,23.9873,23.3165,6.96167
351.518,0.477653,0.209009,2,3,0,23.9873,23.3165,6.96167
351.983,0.978003,0.209009,3,7,0,23.4676,22.6373,7.09696
351.763,0.787527,0.209009,4,15,0,25.3817,24.6554,7.64198
351.816,1,0.209009,2,3,0,25.4075,24.5786,7.68014
351.263,0.729101,0.209009,4,11,0,24.7309,23.2057,7.60539
351.984,0.943783,0.209009,2,3,0,24.7262,23.9434,7.39976
351.86,0.948442,0.209009,3,7,0,24.7411,23.3818,7.50121
352.091,0.993734,0.209009,2,3,0,24.2583,23.3225,7.30791
352.015,0.982521,0.209009,4,15,0,23.9098,23.0157,7.24888
351.735,0.935061,0.209009,2,3,0,24.0832,23.4391,7.36845
351.85,0.999919,0.209009,4,15,0,23.4073,22.4993,6.83295
348.519,0.710807,0.209009,2,3,0,21.9195,21.6229,7.22385
350.374,0.994554,0.209009,3,7,0,23.9319,21.9729,6.67655
351.126,0.999614,0.209009,4,15,0,23.978,23.7436,7.34405
351.414,0.999781,0.209009,4,15,0,23.7069,21.9171,6.88896
350.965,0.97291,0.209009,3,7,0,22.4167,22.1788,6.71316
348.542,0.822592,0.209009,2,3,0,22.5901,20.1148,6.63867
348.542,0.531728,0.209009,1,1,0,22.5901,20.1148,6.63867
346.418,0.949923,0.209009,3,7,0,22.2287,22.6282,6.26186
346.934,1,0.209009,2,3,0,22.9371,22.0729,6.08499
344.489,0.868375,0.209009,2,3,0,22.8779,22.7592,6.06835
350.333,1,0.209009,3,7,0,22.5991,20.5973,6.67487
351.205,0.962643,0.209009,3,7,0,21.5988,20.7009,6.34787
351.828,0.970566,0.209009,4,15,0,23.01,22.1221,6.75486
352.128,0.99025,0.209009,4,15,0,24.5711,23.2465,7.30928
351.354,0.867621,0.209009,2,3,0,25.2518,23.3332,7.24192
350.924,0.97253,0.209009,2,3,0,25.2981,23.2487,7.16591
349.946,0.899566,0.209009,3,7,0,23.231,23.3467,7.30181
351.706,1,0.209009,2,3,0,23.661,22.1373,7.1201
351.778,1,0.209009,2,3,0,23.4937,22.0957,7.09858
351.824,0.944109,0.209009,4,15,0,25.9407,25.0034,7.74524
351.736,0.976092,0.209009,4,15,0,23.4766,22.2777,6.76623
349.049,0.677485,0.209009,3,7,0,22.072,22.3858,7.01535
349.191,1,0.209009,3,7,0,23.8393,21.3788,6.67464
350.45,0.957351,0.209009,4,15,0,25.356,24.6362,8.01663
350.171,0.974171,0.209009,1,1,0,25.174,24.3763,8.01603
351.703,0.849115,0.209009,3,7,0,25.2706,23.6934,7.61412
351.703,0.730532,0.209009,2,3,0,25.2706,23.6934,7.61412
351.079,0.757553,0.209009,2,3,0,24.568,24.3272,7.50114
352.147,0.996707,0.209009,4,15,0,24.1285,22.8912,7.1221
